model,processing,cycle,variant,dataset,class_id,class_name,roc_auc
faster_rcnn,plain,3,scratch,test,1,Small_Mammal,0.4763317599460553
faster_rcnn,plain,3,scratch,test,2,Western_Leopard_Toad,0.998988400323712
faster_rcnn,plain,3,scratch,val,0,Other_Amphibian,0.36764705882352944
faster_rcnn,plain,3,scratch,val,1,Small_Mammal,0.4859279918864098
faster_rcnn,plain,3,scratch,val,2,Western_Leopard_Toad,0.4344574036511156
faster_rcnn,plain,4,pretrained,test,0,Other_Amphibian,0.8257330455117826
faster_rcnn,plain,4,pretrained,test,1,Small_Mammal,0.4997977073499662
faster_rcnn,plain,4,pretrained,test,2,Western_Leopard_Toad,0.9995953601294848
faster_rcnn,plain,4,pretrained,val,0,Other_Amphibian,0.4213995943204868
faster_rcnn,plain,4,pretrained,val,1,Small_Mammal,0.4983519269776876
faster_rcnn,plain,4,pretrained,val,2,Western_Leopard_Toad,0.43800709939148075
faster_rcnn,plain,4,scratch,test,0,Other_Amphibian,0.990038676020867
faster_rcnn,plain,4,scratch,test,1,Small_Mammal,0.4942009440323668
faster_rcnn,plain,4,scratch,test,2,Western_Leopard_Toad,0.9995953601294848
faster_rcnn,plain,4,scratch,val,0,Other_Amphibian,0.4887170385395538
faster_rcnn,plain,4,scratch,val,1,Small_Mammal,0.4645030425963489
faster_rcnn,plain,4,scratch,val,2,Western_Leopard_Toad,0.4733772819472616
rtdetr,clahe,0,pretrained,test,0,Other_Amphibian,0.09367692030940812
rtdetr,clahe,0,pretrained,test,1,Small_Mammal,0.0011463250168576855
rtdetr,clahe,0,pretrained,test,2,Western_Leopard_Toad,0.9994604801726463
rtdetr,clahe,0,pretrained,val,0,Other_Amphibian,0.007986815415821524
rtdetr,clahe,0,pretrained,val,1,Small_Mammal,0.0049442190669370945
rtdetr,clahe,0,pretrained,val,2,Western_Leopard_Toad,0.0
rtdetr,clahe,0,scratch,test,0,Other_Amphibian,0.20729897463572577
rtdetr,clahe,0,scratch,test,1,Small_Mammal,0.0
rtdetr,clahe,0,scratch,test,2,Western_Leopard_Toad,0.9993930401942271
rtdetr,clahe,0,scratch,val,0,Other_Amphibian,0.015466531440162246
rtdetr,clahe,0,scratch,val,1,Small_Mammal,0.0
rtdetr,clahe,0,scratch,val,2,Western_Leopard_Toad,0.0
rtdetr,clahe,1,pretrained,test,0,Other_Amphibian,0.28723691311386934
rtdetr,clahe,1,pretrained,test,1,Small_Mammal,0.023803101820633832
rtdetr,clahe,1,pretrained,test,2,Western_Leopard_Toad,0.9993930401942273
rtdetr,clahe,1,pretrained,val,0,Other_Amphibian,0.00012677484787015914
rtdetr,clahe,1,pretrained,val,1,Small_Mammal,0.01762170385395534
rtdetr,clahe,1,pretrained,val,2,Western_Leopard_Toad,0.2136156186612576
rtdetr,clahe,1,scratch,test,0,Other_Amphibian,0.30504587155963303
rtdetr,clahe,1,scratch,test,1,Small_Mammal,0.0
rtdetr,clahe,1,scratch,test,2,Western_Leopard_Toad,0.9993930401942271
rtdetr,clahe,1,scratch,val,0,Other_Amphibian,0.0
rtdetr,clahe,1,scratch,val,1,Small_Mammal,0.0
rtdetr,clahe,1,scratch,val,2,Western_Leopard_Toad,0.0010141987829614396
rtdetr,clahe,2,pretrained,test,0,Other_Amphibian,0.2563410685375067
rtdetr,clahe,2,pretrained,test,1,Small_Mammal,0.458125421443021
rtdetr,clahe,2,pretrained,test,2,Western_Leopard_Toad,0.9993930401942273
rtdetr,clahe,2,pretrained,val,0,Other_Amphibian,0.0
rtdetr,clahe,2,pretrained,val,1,Small_Mammal,0.4647565922920892
rtdetr,clahe,2,pretrained,val,2,Western_Leopard_Toad,0.16911764705882354
rtdetr,clahe,2,scratch,test,0,Other_Amphibian,0.28831624392876415
rtdetr,clahe,2,scratch,test,1,Small_Mammal,0.35960890087660147
rtdetr,clahe,2,scratch,test,2,Western_Leopard_Toad,0.9995279201510656
rtdetr,clahe,2,scratch,val,0,Other_Amphibian,0.0
rtdetr,clahe,2,scratch,val,1,Small_Mammal,0.4683062880324544
rtdetr,clahe,2,scratch,val,2,Western_Leopard_Toad,0.00012677484787015914
rtdetr,clahe,3,pretrained,test,0,Other_Amphibian,0.25607123583378305
rtdetr,clahe,3,pretrained,test,1,Small_Mammal,0.2197572488199595
