model,processing,cycle,variant,dataset,class_id,class_name,AP,recall_0.1,specificity_0.1,precision_0.1,f1_0.1,max_recall,best_thresh,spec_at_best_thresh
faster_rcnn,clahe,4,scratch,val,2,Western_Leopard_Toad,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
faster_rcnn,plain,0,pretrained,test,0,Other_Amphibian,0.0,0.0,0.8743928764166217,0.0,0.0,1.0,0.01,0.22679438747976255
faster_rcnn,plain,0,pretrained,test,1,Small_Mammal,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
faster_rcnn,plain,0,pretrained,test,2,Western_Leopard_Toad,0.1,1.0,0.7774480712166172,0.0006056935190793458,0.0012106537530266344,1.0,0.85,0.9985163204747775
faster_rcnn,plain,0,pretrained,val,0,Other_Amphibian,0.0,0.0,0.8088235294117647,0.0,0.0,0.0,0.0,0.0
faster_rcnn,plain,0,pretrained,val,1,Small_Mammal,0.0,0.0,0.9934077079107505,0.0,0.0,0.0,0.0,0.0
faster_rcnn,plain,0,pretrained,val,2,Western_Leopard_Toad,0.0,0.0,0.8833671399594321,0.0,0.0,0.0,0.0,0.0
faster_rcnn,plain,0,scratch,test,0,Other_Amphibian,0.0,0.0,0.8275769023205612,0.0,0.0,1.0,0.04,0.731651376146789
faster_rcnn,plain,0,scratch,test,1,Small_Mammal,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
faster_rcnn,plain,0,scratch,test,2,Western_Leopard_Toad,0.08333333333333333,1.0,0.9197464256811437,0.0016778523489932886,0.0033500837520938024,1.0,0.95,0.9985163204747775
faster_rcnn,plain,0,scratch,val,0,Other_Amphibian,0.0,0.0,0.9459939148073022,0.0,0.0,0.0,0.0,0.0
faster_rcnn,plain,0,scratch,val,1,Small_Mammal,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
faster_rcnn,plain,0,scratch,val,2,Western_Leopard_Toad,0.0,0.0,0.7682555780933062,0.0,0.0,0.0,0.0,0.0
faster_rcnn,plain,1,pretrained,test,0,Other_Amphibian,0.0,0.6666666666666666,0.9866432811656772,0.019801980198019802,0.038461538461538464,1.0,0.01,0.7450080949811118
faster_rcnn,plain,1,pretrained,test,1,Small_Mammal,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
