threshold,tp,fp,tn,fn,recall,specificity,precision,f1_score,model,processing,cycle,variant,dataset
0.33,7,932,3002,3,0.7,0.7630910015251652,0.007454739084132056,0.014752370916754479,faster_rcnn,clahe,0,scratch,val
0.37,7,895,3039,3,0.7,0.7724961870869345,0.007760532150776054,0.015350877192982455,faster_rcnn,clahe,0,scratch,val
0.4,7,864,3070,3,0.7,0.7803762074224707,0.008036739380022962,0.015891032917139614,faster_rcnn,clahe,0,scratch,val
0.43,6,847,3087,4,0.6,0.7846975088967971,0.007033997655334115,0.013904982618771728,faster_rcnn,clahe,0,scratch,val
0.46,6,824,3110,4,0.6,0.7905439755973563,0.007228915662650603,0.014285714285714287,faster_rcnn,clahe,0,scratch,val
0.5,6,800,3134,4,0.6,0.7966446365022878,0.007444168734491315,0.014705882352941178,faster_rcnn,clahe,0,scratch,val
0.53,6,790,3144,4,0.6,0.7991865785460092,0.007537688442211055,0.01488833746898263,faster_rcnn,clahe,0,scratch,val
0.56,6,775,3159,4,0.6,0.8029994916115912,0.0076824583866837385,0.015170670037926675,faster_rcnn,clahe,0,scratch,val
0.59,6,757,3177,4,0.6,0.8075749872902898,0.007863695937090432,0.015523932729624837,faster_rcnn,clahe,0,scratch,val
0.63,5,733,3201,5,0.5,0.8136756481952212,0.006775067750677507,0.013368983957219253,faster_rcnn,clahe,0,scratch,val
0.66,5,714,3220,5,0.5,0.8185053380782918,0.006954102920723227,0.013717421124828533,faster_rcnn,clahe,0,scratch,val
0.69,4,676,3258,6,0.4,0.8281647178444331,0.0058823529411764705,0.011594202898550727,faster_rcnn,clahe,0,scratch,val
0.72,4,643,3291,6,0.4,0.8365531265887137,0.0061823802163833074,0.012176560121765602,faster_rcnn,clahe,0,scratch,val
0.76,2,570,3364,8,0.2,0.8551093035078801,0.0034965034965034965,0.006872852233676976,faster_rcnn,clahe,0,scratch,val
0.79,2,487,3447,8,0.2,0.8762074224707677,0.00408997955010225,0.008016032064128258,faster_rcnn,clahe,0,scratch,val
0.82,2,378,3556,8,0.2,0.9039145907473309,0.005263157894736842,0.010256410256410256,faster_rcnn,clahe,0,scratch,val
0.85,1,257,3677,9,0.1,0.9346720894763599,0.003875968992248062,0.007462686567164178,faster_rcnn,clahe,0,scratch,val
0.89,1,133,3801,9,0.1,0.9661921708185054,0.007462686567164179,0.01388888888888889,faster_rcnn,clahe,0,scratch,val
0.92,1,48,3886,9,0.1,0.9877986781901372,0.02040816326530612,0.033898305084745756,faster_rcnn,clahe,0,scratch,val
0.95,0,10,3924,10,0.0,0.9974580579562786,0.0,0.0,faster_rcnn,clahe,0,scratch,val
0.01,13,4500,2902,0,1.0,0.39205620102674954,0.0028805672501661865,0.0057445868316394165,faster_rcnn,clahe,1,pretrained,test
0.04,12,2539,4863,1,0.9230769230769231,0.6569845987570927,0.004704037632301058,0.009360374414976598,faster_rcnn,clahe,1,pretrained,test
0.07,12,1929,5473,1,0.9230769230769231,0.7393947581734667,0.0061823802163833074,0.012282497441146366,faster_rcnn,clahe,1,pretrained,test
0.11,12,1635,5767,1,0.9230769230769231,0.779113753039719,0.007285974499089253,0.014457831325301203,faster_rcnn,clahe,1,pretrained,test
0.14,12,1486,5916,1,0.9230769230769231,0.7992434477168333,0.00801068090787717,0.015883520847121115,faster_rcnn,clahe,1,pretrained,test
0.17,12,1350,6052,1,0.9230769230769231,0.8176168603080248,0.00881057268722467,0.01745454545454546,faster_rcnn,clahe,1,pretrained,test
0.2,12,1221,6181,1,0.9230769230769231,0.835044582545258,0.009732360097323601,0.019261637239165328,faster_rcnn,clahe,1,pretrained,test
0.24,12,1080,6322,1,0.9230769230769231,0.8540934882464198,0.01098901098901099,0.021719457013574663,faster_rcnn,clahe,1,pretrained,test
0.27,11,958,6444,2,0.8461538461538461,0.8705755201296946,0.011351909184726523,0.022403258655804482,faster_rcnn,clahe,1,pretrained,test
0.3,11,867,6535,2,0.8461538461538461,0.8828694947311537,0.012528473804100227,0.024691358024691357,faster_rcnn,clahe,1,pretrained,test
0.33,11,787,6615,2,0.8461538461538461,0.8936773844906782,0.013784461152882205,0.027127003699136863,faster_rcnn,clahe,1,pretrained,test
0.37,11,695,6707,2,0.8461538461538461,0.9061064577141313,0.015580736543909348,0.030598052851182198,faster_rcnn,clahe,1,pretrained,test
0.4,11,612,6790,2,0.8461538461538461,0.9173196433396379,0.01765650080256822,0.03459119496855346,faster_rcnn,clahe,1,pretrained,test
0.43,11,548,6854,2,0.8461538461538461,0.9259659551472575,0.01967799642218247,0.038461538461538464,faster_rcnn,clahe,1,pretrained,test
0.46,11,486,6916,2,0.8461538461538461,0.934342069710889,0.022132796780684104,0.04313725490196078,faster_rcnn,clahe,1,pretrained,test
0.5,10,427,6975,3,0.7692307692307693,0.9423128884085382,0.02288329519450801,0.044444444444444446,faster_rcnn,clahe,1,pretrained,test
0.53,10,373,7029,3,0.7692307692307693,0.9496082139962172,0.02610966057441253,0.0505050505050505,faster_rcnn,clahe,1,pretrained,test
0.56,10,335,7067,3,0.7692307692307693,0.9547419616319913,0.028985507246376812,0.055865921787709494,faster_rcnn,clahe,1,pretrained,test
0.59,10,293,7109,3,0.7692307692307693,0.9604161037557417,0.033003300330033,0.06329113924050632,faster_rcnn,clahe,1,pretrained,test
0.63,10,230,7172,3,0.7692307692307693,0.9689273169413672,0.041666666666666664,0.07905138339920947,faster_rcnn,clahe,1,pretrained,test
0.66,10,194,7208,3,0.7692307692307693,0.9737908673331532,0.049019607843137254,0.09216589861751152,faster_rcnn,clahe,1,pretrained,test
0.69,10,157,7245,3,0.7692307692307693,0.9787895163469332,0.059880239520958084,0.11111111111111112,faster_rcnn,clahe,1,pretrained,test
0.72,10,125,7277,3,0.7692307692307693,0.9831126722507431,0.07407407407407407,0.13513513513513514,faster_rcnn,clahe,1,pretrained,test
0.76,10,86,7316,3,0.7692307692307693,0.9883815185085112,0.10416666666666667,0.1834862385321101,faster_rcnn,clahe,1,pretrained,test
0.79,10,67,7335,3,0.7692307692307693,0.9909483923263983,0.12987012987012986,0.2222222222222222,faster_rcnn,clahe,1,pretrained,test
0.82,10,48,7354,3,0.7692307692307693,0.9935152661442853,0.1724137931034483,0.28169014084507044,faster_rcnn,clahe,1,pretrained,test
0.85,10,28,7374,3,0.7692307692307693,0.9962172385841664,0.2631578947368421,0.392156862745098,faster_rcnn,clahe,1,pretrained,test
0.89,9,12,7390,4,0.6923076923076923,0.9983788165360713,0.42857142857142855,0.5294117647058824,faster_rcnn,clahe,1,pretrained,test
0.92,9,7,7395,4,0.6923076923076923,0.9990543096460416,0.5625,0.6206896551724138,faster_rcnn,clahe,1,pretrained,test
0.95,9,0,7402,4,0.6923076923076923,1.0,1.0,0.8181818181818181,faster_rcnn,clahe,1,pretrained,test
0.01,8,2087,1847,2,0.8,0.4694966954753432,0.0038186157517899762,0.007600950118764846,faster_rcnn,clahe,1,pretrained,val
0.04,3,1128,2806,7,0.3,0.7132689374682257,0.002652519893899204,0.0052585451358457495,faster_rcnn,clahe,1,pretrained,val
0.07,1,708,3226,9,0.1,0.8200305033045246,0.0014104372355430183,0.0027816411682892906,faster_rcnn,clahe,1,pretrained,val
0.11,1,503,3431,9,0.1,0.8721403152008135,0.001984126984126984,0.0038910505836575876,faster_rcnn,clahe,1,pretrained,val
0.14,1,427,3507,9,0.1,0.891459074733096,0.002336448598130841,0.0045662100456621,faster_rcnn,clahe,1,pretrained,val
0.17,1,352,3582,9,0.1,0.9105236400610066,0.0028328611898017,0.005509641873278238,faster_rcnn,clahe,1,pretrained,val
0.2,1,297,3637,9,0.1,0.9245043213014743,0.003355704697986577,0.006493506493506494,faster_rcnn,clahe,1,pretrained,val
0.24,1,249,3685,9,0.1,0.9367056431113371,0.004,0.007692307692307692,faster_rcnn,clahe,1,pretrained,val
0.27,1,210,3724,9,0.1,0.9466192170818505,0.004739336492890996,0.00904977375565611,faster_rcnn,clahe,1,pretrained,val
0.3,0,176,3758,10,0.0,0.9552618200305033,0.0,0.0,faster_rcnn,clahe,1,pretrained,val
0.33,0,154,3780,10,0.0,0.9608540925266904,0.0,0.0,faster_rcnn,clahe,1,pretrained,val
0.37,0,125,3809,10,0.0,0.9682257244534824,0.0,0.0,faster_rcnn,clahe,1,pretrained,val
0.4,0,110,3824,10,0.0,0.9720386375190646,0.0,0.0,faster_rcnn,clahe,1,pretrained,val
0.43,0,93,3841,10,0.0,0.9763599389933909,0.0,0.0,faster_rcnn,clahe,1,pretrained,val
