model,processing,cycle,variant,dataset,mAP,binary_auc,binary_recall_0.1,binary_precision_0.1,binary_f1_0.1,Other_Amphibian_auc,Other_Amphibian_ap,Other_Amphibian_recall_0.1,Other_Amphibian_precision_0.1,Other_Amphibian_f1_0.1,Small_Mammal_auc,Small_Mammal_ap,Small_Mammal_recall_0.1,Small_Mammal_precision_0.1,Small_Mammal_f1_0.1,Western_Leopard_Toad_auc,Western_Leopard_Toad_ap,Western_Leopard_Toad_recall_0.1,Western_Leopard_Toad_precision_0.1,Western_Leopard_Toad_f1_0.1
faster_rcnn,plain,3,pretrained,test,0.05555555555555555,0.9351318770394695,0.8461538461538461,0.02040816326530612,0.03985507246376811,0.9575688073394496,0.0,0.3333333333333333,0.0064516129032258064,0.012658227848101266,,0.0,0.0,0.0,0.0,0.9989209603452927,0.1111111111111111,1.0,0.0025380710659898475,0.005063291139240506
faster_rcnn,plain,3,pretrained,val,0.0,0.6962633451957295,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
faster_rcnn,plain,3,scratch,test,0.05555555555555555,0.9831542410575105,0.9230769230769231,0.00881704628949302,0.017467248908296942,0.7514615938118366,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.9989209603452927,0.1111111111111111,1.0,0.003436426116838488,0.00684931506849315
faster_rcnn,plain,3,scratch,val,0.0,0.940620233858668,0.7,0.028,0.05384615384615385,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
faster_rcnn,plain,4,pretrained,test,0.08333333333333333,0.8995697628499575,0.7692307692307693,0.05917159763313609,0.10989010989010989,0.9886445403849613,0.0,0.3333333333333333,0.02,0.03773584905660377,,0.0,0.0,0.0,0.0,0.999325600215808,0.16666666666666666,1.0,0.00819672131147541,0.016260162601626018
faster_rcnn,plain,4,pretrained,val,0.0,0.5614768683274022,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
faster_rcnn,plain,4,scratch,test,0.08333333333333333,0.9377403196641241,0.8461538461538461,0.22448979591836735,0.3548387096774194,0.9908481741320381,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.9993256002158079,0.16666666666666666,1.0,0.041666666666666664,0.08
faster_rcnn,plain,4,scratch,val,0.0,0.8958566344687342,0.6,0.20689655172413793,0.3076923076923077,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
rtdetr,clahe,0,pretrained,test,0.08333333333333333,0.9559682414316297,1.0,0.002925950934053567,0.0058348294434470375,0.04728818132757691,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.9993256002158079,0.16666666666666666,1.0,0.00038299502106472615,0.0007656967840735069
rtdetr,clahe,0,pretrained,val,0.0,0.8920183019827148,1.0,0.0038138825324180014,0.007598784194528876,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
rtdetr,clahe,0,scratch,test,0.16666666666666666,0.9849416997485086,1.0,0.0025515210991167814,0.005090054815974941,0.20765875157402408,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.9997976800647423,0.3333333333333333,1.0,0.0002598752598752599,0.0005196154845414394
rtdetr,clahe,0,scratch,val,0.0,0.7040671072699543,0.9,0.002787240631774543,0.005557270762581044,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
rtdetr,clahe,1,pretrained,test,0.25,0.995344293642051,1.0,0.005416666666666667,0.01077496891835889,0.2901376146788991,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.9999325600215807,0.5,1.0,0.001256281407035176,0.002509410288582183
rtdetr,clahe,1,pretrained,val,0.0,0.8638790035587188,0.9,0.006016042780748663,0.01195219123505976,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
