layer                                    name                type  gradient  parameters               shape        mu     sigma
   70                 model.8.m.0.cv1.bn.bias         BatchNorm2d     False         128               [128]     -0.37     0.543        float32
   71             model.8.m.0.cv2.conv.weight              Conv2d     False       32768    [128, 256, 1, 1]  -0.00213    0.0296        float32
   72               model.8.m.0.cv2.bn.weight         BatchNorm2d     False         128               [128]      1.04     0.121        float32
   72                 model.8.m.0.cv2.bn.bias         BatchNorm2d     False         128               [128]     -0.27     0.118        float32
   73             model.8.m.0.cv3.conv.weight              Conv2d     False       65536    [256, 256, 1, 1]  -0.00117    0.0327        float32
   74               model.8.m.0.cv3.bn.weight         BatchNorm2d     False         256               [256]      1.16     0.248        float32
   74                 model.8.m.0.cv3.bn.bias         BatchNorm2d     False         256               [256]    -0.221     0.484        float32
   75         model.8.m.0.m.0.cv1.conv.weight              Conv2d     False      147456    [128, 128, 3, 3] -0.000986    0.0202        float32
   76           model.8.m.0.m.0.cv1.bn.weight         BatchNorm2d     False         128               [128]      1.21     0.181        float32
   76             model.8.m.0.m.0.cv1.bn.bias         BatchNorm2d     False         128               [128]    -0.458     0.504        float32
   77         model.8.m.0.m.0.cv2.conv.weight              Conv2d     False      147456    [128, 128, 3, 3]  -0.00118    0.0202        float32
   78           model.8.m.0.m.0.cv2.bn.weight         BatchNorm2d     False         128               [128]       1.2     0.319        float32
   78             model.8.m.0.m.0.cv2.bn.bias         BatchNorm2d     False         128               [128]    -0.178      0.52        float32
   79         model.8.m.0.m.1.cv1.conv.weight              Conv2d     False      147456    [128, 128, 3, 3]  -0.00173    0.0189        float32
   80           model.8.m.0.m.1.cv1.bn.weight         BatchNorm2d     False         128               [128]       1.2     0.193        float32
   80             model.8.m.0.m.1.cv1.bn.bias         BatchNorm2d     False         128               [128]    -0.458      0.47        float32
   81         model.8.m.0.m.1.cv2.conv.weight              Conv2d     False      147456    [128, 128, 3, 3]  -0.00101    0.0191        float32
   82           model.8.m.0.m.1.cv2.bn.weight         BatchNorm2d     False         128               [128]      1.55     0.461        float32
