model,processing,cycle,variant,dataset,class_id,class_name,threshold,recall,specificity,precision,f1_score,tp,fp,tn,fn
faster_rcnn,clahe,0,pretrained,val,1,Small_Mammal,0.85,0.0,1.0,0.0,0.0,0,0,1440,0
faster_rcnn,clahe,0,pretrained,val,1,Small_Mammal,0.89,0.0,1.0,0.0,0.0,0,0,1440,0
faster_rcnn,clahe,0,pretrained,val,1,Small_Mammal,0.92,0.0,1.0,0.0,0.0,0,0,1440,0
faster_rcnn,clahe,0,pretrained,val,1,Small_Mammal,0.95,0.0,1.0,0.0,0.0,0,0,1440,0
faster_rcnn,clahe,0,pretrained,val,2,Western_Leopard_Toad,0.01,0.8103448275862069,0.2821997105643994,0.04523580365736285,0.08568824065633546,47,992,390,11
faster_rcnn,clahe,0,pretrained,val,2,Western_Leopard_Toad,0.04,0.6724137931034483,0.5918958031837916,0.06467661691542288,0.11800302571860816,39,564,818,19
faster_rcnn,clahe,0,pretrained,val,2,Western_Leopard_Toad,0.07,0.5517241379310345,0.7373371924746743,0.0810126582278481,0.141280353200883,32,363,1019,26
faster_rcnn,clahe,0,pretrained,val,2,Western_Leopard_Toad,0.11,0.4827586206896552,0.8704775687409552,0.13526570048309178,0.21132075471698114,28,179,1203,30
faster_rcnn,clahe,0,pretrained,val,2,Western_Leopard_Toad,0.14,0.46551724137931033,0.9218523878437048,0.2,0.27979274611398963,27,108,1274,31
faster_rcnn,clahe,0,pretrained,val,2,Western_Leopard_Toad,0.17,0.4482758620689655,0.9457308248914617,0.25742574257425743,0.32704402515723274,26,75,1307,32
faster_rcnn,clahe,0,pretrained,val,2,Western_Leopard_Toad,0.2,0.43103448275862066,0.9565846599131693,0.29411764705882354,0.3496503496503497,25,60,1322,33
faster_rcnn,clahe,0,pretrained,val,2,Western_Leopard_Toad,0.24,0.43103448275862066,0.9652677279305355,0.3424657534246575,0.3816793893129771,25,48,1334,33
faster_rcnn,clahe,0,pretrained,val,2,Western_Leopard_Toad,0.27,0.3793103448275862,0.9696092619392185,0.34375,0.36065573770491804,22,42,1340,36
faster_rcnn,clahe,0,pretrained,val,2,Western_Leopard_Toad,0.3,0.3620689655172414,0.9775687409551375,0.40384615384615385,0.3818181818181818,21,31,1351,37
faster_rcnn,clahe,0,pretrained,val,2,Western_Leopard_Toad,0.33,0.3103448275862069,0.9797395079594791,0.391304347826087,0.34615384615384615,18,28,1354,40
faster_rcnn,clahe,0,pretrained,val,2,Western_Leopard_Toad,0.37,0.22413793103448276,0.9811866859623734,0.3333333333333333,0.268041237113402,13,26,1356,45
faster_rcnn,clahe,0,pretrained,val,2,Western_Leopard_Toad,0.4,0.20689655172413793,0.983357452966715,0.34285714285714286,0.2580645161290323,12,23,1359,46
faster_rcnn,clahe,0,pretrained,val,2,Western_Leopard_Toad,0.43,0.1896551724137931,0.9848046309696092,0.34375,0.24444444444444444,11,21,1361,47
faster_rcnn,clahe,0,pretrained,val,2,Western_Leopard_Toad,0.46,0.13793103448275862,0.9876989869753979,0.32,0.1927710843373494,8,17,1365,50
faster_rcnn,clahe,0,pretrained,val,2,Western_Leopard_Toad,0.5,0.1206896551724138,0.9927641099855282,0.4117647058823529,0.18666666666666668,7,10,1372,51
faster_rcnn,clahe,0,pretrained,val,2,Western_Leopard_Toad,0.53,0.08620689655172414,0.9934876989869754,0.35714285714285715,0.1388888888888889,5,9,1373,53
faster_rcnn,clahe,0,pretrained,val,2,Western_Leopard_Toad,0.56,0.05172413793103448,0.9985528219971056,0.6,0.09523809523809525,3,2,1380,55
faster_rcnn,clahe,0,pretrained,val,2,Western_Leopard_Toad,0.59,0.05172413793103448,0.9985528219971056,0.6,0.09523809523809525,3,2,1380,55
