model,processing,cycle,variant,dataset,mAP,mAR,binary_auc,binary_recall_0.1,binary_precision_0.1,binary_f1_0.1,Other_Amphibian_auc,Other_Amphibian_ap,Other_Amphibian_ar,Other_Amphibian_f1_default,Other_Amphibian_recall_default,Other_Amphibian_precision_default,Other_Amphibian_f1_optimal,Other_Amphibian_recall_optimal,Other_Amphibian_precision_optimal,Other_Amphibian_specificity_optimal,Other_Amphibian_optimal_threshold,Small_Mammal_auc,Small_Mammal_ap,Small_Mammal_ar,Small_Mammal_f1_default,Small_Mammal_recall_default,Small_Mammal_precision_default,Small_Mammal_f1_optimal,Small_Mammal_recall_optimal,Small_Mammal_precision_optimal,Small_Mammal_specificity_optimal,Small_Mammal_optimal_threshold,Western_Leopard_Toad_auc,Western_Leopard_Toad_ap,Western_Leopard_Toad_ar,Western_Leopard_Toad_f1_default,Western_Leopard_Toad_recall_default,Western_Leopard_Toad_precision_default,Western_Leopard_Toad_f1_optimal,Western_Leopard_Toad_recall_optimal,Western_Leopard_Toad_precision_optimal,Western_Leopard_Toad_specificity_optimal,Western_Leopard_Toad_optimal_threshold
faster_rcnn,clahe,0,pretrained,test_full_seq,,,0.6960424945509542,0.6106408706166868,0.010428282327675216,0.020506365094512008,0.6758768736803449,,0.0,,,,,,,,,0.7368051361054367,,0.0,,,,,,,,,0.8731480959559389,,0.0,,,,,,,,
faster_rcnn,clahe,0,pretrained,test,0.2314791345973948,0.6200887444212264,,,,,,0.1913674966005169,0.5451977401129944,,,,0.29679595278246207,0.24858757062146894,0.3682008368200837,0.4921875,0.1096,,0.0010706638115631692,0.5,,,,0.0042643923240938165,0.5,0.0021413276231263384,0.5890909090909091,0.0036,,0.5019992433801044,0.815068493150685,,,,0.5441696113074205,0.5273972602739726,0.5620437956204379,0.9708454810495627,0.5855
faster_rcnn,clahe,0,pretrained,val_full_seq,,,0.5653699720347225,0.515032679738562,0.005897850428118077,0.011662152762361438,0.5587274735663427,,0.0,,,,,,,,,0.46638522869250487,,0.0,,,,,,,,,0.7565173317108052,,0.0,,,,,,,,
faster_rcnn,clahe,0,scratch,test_full_seq,,,0.7774223309843517,0.8089480048367593,0.009915958913246476,0.019591765015960407,0.7804326179789262,,0.0,,,,,,,,,0.9348112304800167,,0.0,,,,,,,,,0.9112898493540129,,0.0,,,,,,,,
faster_rcnn,clahe,0,scratch,test,0.309564388457166,0.683693212599644,,,,,,0.42526746820591277,0.6949152542372882,,,,0.5053929121725732,0.4632768361581921,0.5559322033898305,0.6484375,0.1369,,0.001984126984126984,0.5,,,,0.007874015748031496,0.5,0.003968253968253968,0.7563636363636363,0.0236,,0.5014415701814582,0.8561643835616438,,,,0.5333333333333334,0.410958904109589,0.759493670886076,0.9883381924198251,0.8968
faster_rcnn,clahe,0,scratch,val_full_seq,,,0.624034707231759,0.3477124183006536,0.007632492611402829,0.014937106918238994,0.6265151966082346,,0.0,,,,,,,,,1.0,,0.0,,,,,,,,,0.6827040714659357,,0.0,,,,,,,,
faster_rcnn,clahe,1,pretrained,test,0.2733891599849316,0.4660178520754328,,,,,,0.3039887586284131,0.617231638418079,,,,0.3890274314214464,0.3305084745762712,0.4727272727272727,0.5234375,0.0379,,0.0,0.0,,,,0.0,0.0,0.0,0.9987878787878788,0.3439,,0.5161787213263817,0.7808219178082192,,,,0.5971223021582734,0.5684931506849316,0.6287878787878788,0.9635568513119533,0.5945
faster_rcnn,clahe,1,scratch,test,0.32026079215652375,0.8299538219436059,,,,,,0.48494497067400105,0.7090395480225988,,,,0.5938242280285037,0.5296610169491526,0.6756756756756757,0.7421875,0.2517,,0.00422853683723249,1.0,,,,0.00892857142857143,0.5,0.0045045045045045045,0.7890909090909091,0.0202,,0.47160886895833776,0.7808219178082192,,,,0.584,0.5,0.7019230769230769,0.9810495626822158,0.799
faster_rcnn,clahe,2,pretrained,test,0.31060407095248604,0.4595684028583959,,,,,,0.3742365984116809,0.6115819209039548,,,,0.47364016736401676,0.3997175141242938,0.5811088295687885,0.5,0.0285,,0.0,0.0,,,,0.0,0.0,0.0,0.9987878787878788,0.0533,,0.5575756144457772,0.7671232876712328,,,,0.6264150943396227,0.5684931506849316,0.6974789915966386,0.9723032069970845,0.4968
faster_rcnn,clahe,2,scratch,test,0.3953931309562868,0.6521554059283338,,,,,,0.609461945256947,0.7372881355932204,,,,0.6821963394342763,0.5790960451977402,0.8299595141700404,0.8828125,0.4568,,0.0007974481658692185,0.5,,,,0.0031796502384737677,0.5,0.001594896331738437,0.5139393939393939,0.0101,,0.5759199994460442,0.7191780821917808,,,,0.6593406593406594,0.6164383561643836,0.7086614173228346,0.9839650145772595,0.2899
faster_rcnn,clahe,3,pretrained,test,0.3159349701055432,0.4876493047493744,,,,,,0.3064353285422521,0.634180790960452,,,,0.4028021015761822,0.3248587570621469,0.5299539170506913,0.6015625,0.0773,,0.0,0.0,,,,0.0,0.0,0.0,0.9987878787878788,0.6541,,0.6413695817743775,0.8287671232876712,,,,0.697841726618705,0.6643835616438356,0.7348484848484849,0.9854227405247813,0.549
faster_rcnn,clahe,3,scratch,test,0.45270060193323447,0.8129853210535819,,,,,,0.5842523675137505,0.7471751412429378,,,,0.6791862284820032,0.6129943502824858,0.7614035087719299,0.6953125,0.3181,,0.2785714285714286,1.0,,,,0.5,0.5,0.5,0.9975757575757576,0.0803,,0.4952780097145244,0.6917808219178082,,,,0.555984555984556,0.4931506849315068,0.6371681415929203,0.9839650145772595,0.1783
faster_rcnn,clahe,4,pretrained,test,0.24702396824324638,0.6123687537084334,,,,,,0.25262053937969914,0.5494350282485876,,,,0.34280476626947753,0.2641242937853107,0.48825065274151436,0.6015625,0.0683,,0.0010309278350515464,0.5,,,,0.004106776180698152,0.5,0.002061855670103093,0.5648484848484848,0.0017,,0.4874204375149885,0.7876712328767124,,,,0.5826086956521739,0.4589041095890411,0.7976190476190477,0.9912536443148688,0.7431
faster_rcnn,clahe,4,scratch,test,0.31106897535783457,0.7249438897918118,,,,,,0.29630658663174747,0.4830508474576271,,,,0.3812206572769953,0.2867231638418079,0.5686274509803921,0.65625,0.0759,,0.057782727047760454,1.0,,,,0.1818181818181818,0.5,0.1111111111111111,0.9927272727272727,0.1106,,0.5791176123939958,0.6917808219178082,,,,0.6720647773279351,0.5684931506849316,0.8217821782178217,0.9970845481049563,0.132
faster_rcnn,plain,0,pretrained,val,0.022151445135593608,0.6728562801932366,,,,,,0.02448813976856207,0.264945652173913,,,,0.0751104565537555,0.06929347826086957,0.0819935691318328,0.20967741935483872,0.135,,0.014492753623188406,1.0,,,,0.02857142857142857,1.0,0.014492753623188406,0.9109947643979057,0.0408,,0.027473442015030342,0.7536231884057971,,,,0.09433962264150944,0.14492753623188406,0.06993006993006994,0.8318965517241379,0.5427
faster_rcnn,plain,0,scratch,val,0.48623045347013755,0.7281099033816426,,,,,,0.09840977525008265,0.38722826086956524,,,,0.2253787878787879,0.16168478260869565,0.371875,0.5,0.1383,,1.0,1.0,,,,1.0,1.0,1.0,1.0,0.1663,,0.36028158516032993,0.7971014492753623,,,,0.47761194029850745,0.463768115942029,0.49230769230769234,0.9554597701149425,0.319
faster_rcnn,plain,1,pretrained,val,0.09891165848742607,0.6230374396135265,,,,,,0.016935399907719906,0.20244565217391305,,,,0.06981519507186858,0.06929347826086957,0.0703448275862069,0.14516129032258066,0.0213,,0.16666666666666666,1.0,,,,0.2857142857142857,1.0,0.16666666666666666,0.993455497382199,0.1374,,0.11313290888789168,0.6666666666666666,,,,0.1991341991341991,0.3333333333333333,0.1419753086419753,0.882183908045977,0.0283
