model,processing,cycle,variant,dataset,mAP,mAP50-95,mAR,precision,recall,Other_Amphibian_ap,Other_Amphibian_precision_optimal,Other_Amphibian_recall_optimal,Other_Amphibian_optimal_threshold,Other_Amphibian_specificity_optimal,Small_Mammal_ap,Small_Mammal_precision_optimal,Small_Mammal_recall_optimal,Small_Mammal_optimal_threshold,Small_Mammal_specificity_optimal,Western_Leopard_Toad_ap,Western_Leopard_Toad_precision_optimal,Western_Leopard_Toad_recall_optimal,Western_Leopard_Toad_optimal_threshold,Western_Leopard_Toad_specificity_optimal
yolo,clahe,1,pretrained,test,0.7332718577166993,0.6337072552414217,0.6097493029153886,0.8688387829228126,0.6097493029153886,0.748020413321019,0.8688387829228126,0.6097493029153886,0.25,0.95,0.5233333333333333,0.8688387829228126,0.6097493029153886,0.25,0.95,0.9284618264957458,0.8688387829228126,0.6097493029153886,0.25,0.95
yolo,clahe,1,pretrained,val,0.7711044388485394,0.5519826664165886,0.6403537431215778,0.7469760742001569,0.6403537431215778,0.6134856513962955,0.7469760742001569,0.6403537431215778,0.25,0.95,0.995,0.7469760742001569,0.6403537431215778,0.25,0.95,0.7048276651493227,0.7469760742001569,0.6403537431215778,0.25,0.95
yolo,clahe,1,scratch,test,0.5188006321286066,0.435468331140571,0.4014207558645526,0.5142787438970493,0.4014207558645526,0.7115683886957784,0.5142787438970493,0.4014207558645526,0.25,0.95,0.0,0.5142787438970493,0.4014207558645526,0.25,0.95,0.8448335076900416,0.5142787438970493,0.4014207558645526,0.25,0.95
yolo,clahe,1,scratch,val,0.4679506997813552,0.34195228244133846,0.7238828502415459,0.3710454120290186,0.7238828502415459,0.5619018683578336,0.3710454120290186,0.7238828502415459,0.25,0.95,0.24875,0.3710454120290186,0.7238828502415459,0.25,0.95,0.5932002309862319,0.3710454120290186,0.7238828502415459,0.25,0.95
yolo,clahe,2,pretrained,test,0.893363848548073,0.7525160265021378,0.7988565638692936,0.8512983759933997,0.7988565638692936,0.7802471372178326,0.8512983759933997,0.7988565638692936,0.25,0.95,0.995,0.8512983759933997,0.7988565638692936,0.25,0.95,0.9048444084263867,0.8512983759933997,0.7988565638692936,0.25,0.95
yolo,clahe,2,pretrained,val,0.7354554528727202,0.4444801341956153,0.527626811594203,0.8403726247343485,0.527626811594203,0.6505576828751557,0.8403726247343485,0.527626811594203,0.25,0.95,0.995,0.8403726247343485,0.527626811594203,0.25,0.95,0.560808675743005,0.8403726247343485,0.527626811594203,0.25,0.95
yolo,clahe,2,pretrained,test,0.9066798955913673,0.7350748692967539,0.8790509852575469,0.7774275624961834,0.8790509852575469,0.8067699045869361,0.7774275624961834,0.8790509852575469,0.25,0.95,0.995,0.7774275624961834,0.8790509852575469,0.25,0.95,0.9182697821871656,0.7774275624961834,0.8790509852575469,0.25,0.95
yolo,clahe,2,pretrained,val,0.7429151813581428,0.43099939575709817,0.5639642852771426,0.8412537095674665,0.5639642852771426,0.6446426024374462,0.8412537095674665,0.5639642852771426,0.25,0.95,0.995,0.8412537095674665,0.5639642852771426,0.25,0.95,0.5891029416369824,0.8412537095674665,0.5639642852771426,0.25,0.95
yolo,clahe,2,scratch,test,0.466507785152207,0.38375943823999853,0.38205247271882986,0.8157838556850452,0.38205247271882986,0.6724278764584969,0.8157838556850452,0.38205247271882986,0.25,0.95,0.0,0.8157838556850452,0.38205247271882986,0.25,0.95,0.7270954789981241,0.8157838556850452,0.38205247271882986,0.25,0.95
yolo,clahe,2,scratch,val,0.7956082426305349,0.40102415841357425,0.35061211687286536,0.8446727516126611,0.35061211687286536,0.6751919402590643,0.8446727516126611,0.35061211687286536,0.25,0.95,0.995,0.8446727516126611,0.35061211687286536,0.25,0.95,0.7166327876325405,0.8446727516126611,0.35061211687286536,0.25,0.95
