crop_Z,crop_R,score,year,original_path_Z,original_path_R
2024__09.02.2024__5Z__100MEDIA__DSCF0340_crop0.jpg,2024__11.10.2024__6R__104MEDIA__DSCF0511_crop0.jpg,16,2024,/srv/shared_leopard_toad/2024/09.02.2024/5Z/100MEDIA/DSCF0340.JPG,/srv/shared_leopard_toad/2024/11.10.2024/6R/104MEDIA/DSCF0511.JPG
2024__09.02.2024__5Z__100MEDIA__DSCF0341_crop0.jpg,2024__02.10.2024__5R__101MEDIA__DSCF0502_crop0.jpg,16,2024,/srv/shared_leopard_toad/2024/09.02.2024/5Z/100MEDIA/DSCF0341.JPG,/srv/shared_leopard_toad/2024/02.10.2024/5R/101MEDIA/DSCF0502.JPG
2025__Documents__22.09-29.09.2025__5Z__107MEDIA__DSCF0361_crop0.jpg,2025__Documents__06.10-13.10.2025__6R__104MEDIA__DSCF0450_crop0.jpg,16,2025,/srv/shared_leopard_toad/2025/Documents/22.09-29.09.2025/5Z/107MEDIA/DSCF0361.JPG,/srv/shared_leopard_toad/2025/Documents/06.10-13.10.2025/6R/104MEDIA/DSCF0450.JPG
2025__Documents__22.09-29.09.2025__5Z__107MEDIA__DSCF0358_crop0.jpg,2025__Documents__22.09-29.09.2025__6R__106MEDIA__DSCF0514_crop0.jpg,16,2025,/srv/shared_leopard_toad/2025/Documents/22.09-29.09.2025/5Z/107MEDIA/DSCF0358.JPG,/srv/shared_leopard_toad/2025/Documents/22.09-29.09.2025/6R/106MEDIA/DSCF0514.JPG
2025__Documents__22.09-29.09.2025__5Z__107MEDIA__DSCF0395_crop0.jpg,2025__Documents__06.10-13.10.2025__6R__104MEDIA__DSCF0444_crop0.jpg,16,2025,/srv/shared_leopard_toad/2025/Documents/22.09-29.09.2025/5Z/107MEDIA/DSCF0395.JPG,/srv/shared_leopard_toad/2025/Documents/06.10-13.10.2025/6R/104MEDIA/DSCF0444.JPG
2025__Documents__12.19.08.2025__4Z__107MEDIA__DSCF0813_crop0.jpg,2025__Documents__06.10-13.10.2025__4R__106MEDIA__DSCF0044_crop0.jpg,16,2025,/srv/shared_leopard_toad/2025/Documents/12.19.08.2025/4Z/107MEDIA/DSCF0813.JPG,/srv/shared_leopard_toad/2025/Documents/06.10-13.10.2025/4R/106MEDIA/DSCF0044.JPG
2024__09.02.2024__5Z__100MEDIA__DSCF0339_crop0.jpg,2024__09.02.2024__5R__100MEDIA__DSCF0201_crop0.jpg,15,2024,/srv/shared_leopard_toad/2024/09.02.2024/5Z/100MEDIA/DSCF0339.JPG,/srv/shared_leopard_toad/2024/09.02.2024/5R/100MEDIA/DSCF0201.JPG
2024__09.02.2024__5Z__100MEDIA__DSCF0339_crop0.jpg,2024__09.02.2024__5R__100MEDIA__DSCF0210_crop0.jpg,15,2024,/srv/shared_leopard_toad/2024/09.02.2024/5Z/100MEDIA/DSCF0339.JPG,/srv/shared_leopard_toad/2024/09.02.2024/5R/100MEDIA/DSCF0210.JPG
2024__28.08.2024__5Z__108MEDIA__DSCF0776_crop0.jpg,2024__11.10.2024__5R__104MEDIA__DSCF0837_crop0.jpg,15,2024,/srv/shared_leopard_toad/2024/28.08.2024/5Z/108MEDIA/DSCF0776.JPG,/srv/shared_leopard_toad/2024/11.10.2024/5R/104MEDIA/DSCF0837.JPG
2024__28.08.2024__5Z__108MEDIA__DSCF0776_crop0.jpg,2024__11.10.2024__6R__104MEDIA__DSCF0511_crop0.jpg,15,2024,/srv/shared_leopard_toad/2024/28.08.2024/5Z/108MEDIA/DSCF0776.JPG,/srv/shared_leopard_toad/2024/11.10.2024/6R/104MEDIA/DSCF0511.JPG
2024__28.08.2024__5Z__108MEDIA__DSCF0777_crop0.jpg,2024__18.11.2024__6R__100MEDIA__DSCF0953_crop0.jpg,15,2024,/srv/shared_leopard_toad/2024/28.08.2024/5Z/108MEDIA/DSCF0777.JPG,/srv/shared_leopard_toad/2024/18.11.2024/6R/100MEDIA/DSCF0953.JPG
2024__09.02.2024__5Z__100MEDIA__DSCF0338_crop0.jpg,2024__09.02.2024__5R__100MEDIA__DSCF0207_crop0.jpg,15,2024,/srv/shared_leopard_toad/2024/09.02.2024/5Z/100MEDIA/DSCF0338.JPG,/srv/shared_leopard_toad/2024/09.02.2024/5R/100MEDIA/DSCF0207.JPG
2024__09.02.2024__5Z__100MEDIA__DSCF0338_crop0.jpg,2024__09.02.2024__5R__100MEDIA__DSCF0208_crop0.jpg,15,2024,/srv/shared_leopard_toad/2024/09.02.2024/5Z/100MEDIA/DSCF0338.JPG,/srv/shared_leopard_toad/2024/09.02.2024/5R/100MEDIA/DSCF0208.JPG
2024__09.02.2024__5Z__100MEDIA__DSCF0338_crop0.jpg,2024__09.02.2024__5R__100MEDIA__DSCF0212_crop0.jpg,15,2024,/srv/shared_leopard_toad/2024/09.02.2024/5Z/100MEDIA/DSCF0338.JPG,/srv/shared_leopard_toad/2024/09.02.2024/5R/100MEDIA/DSCF0212.JPG
2024__18.11.2024__4Z__109MEDIA__DSCF0075_crop0.jpg,2024__09.02.2024__5R__102MEDIA__DSCF0073_crop0.jpg,15,2024,/srv/shared_leopard_toad/2024/18.11.2024/4Z/109MEDIA/DSCF0075.JPG,/srv/shared_leopard_toad/2024/09.02.2024/5R/102MEDIA/DSCF0073.JPG
2024__09.02.2024__5Z__100MEDIA__DSCF0340_crop0.jpg,2024__09.02.2024__5R__100MEDIA__DSCF0211_crop0.jpg,15,2024,/srv/shared_leopard_toad/2024/09.02.2024/5Z/100MEDIA/DSCF0340.JPG,/srv/shared_leopard_toad/2024/09.02.2024/5R/100MEDIA/DSCF0211.JPG
2024__09.02.2024__5Z__100MEDIA__DSCF0340_crop0.jpg,2024__18.11.2024__5R__100MEDIA__DSCF0108_crop0.jpg,15,2024,/srv/shared_leopard_toad/2024/09.02.2024/5Z/100MEDIA/DSCF0340.JPG,/srv/shared_leopard_toad/2024/18.11.2024/5R/100MEDIA/DSCF0108.JPG
2024__09.02.2024__5Z__100MEDIA__DSCF0340_crop0.jpg,2024__11.10.2024__5R__105MEDIA__DSCF0867_crop0.jpg,15,2024,/srv/shared_leopard_toad/2024/09.02.2024/5Z/100MEDIA/DSCF0340.JPG,/srv/shared_leopard_toad/2024/11.10.2024/5R/105MEDIA/DSCF0867.JPG
2024__09.02.2024__5Z__100MEDIA__DSCF0340_crop0.jpg,2024__11.10.2024__5R__104MEDIA__DSCF0844_crop0.jpg,15,2024,/srv/shared_leopard_toad/2024/09.02.2024/5Z/100MEDIA/DSCF0340.JPG,/srv/shared_leopard_toad/2024/11.10.2024/5R/104MEDIA/DSCF0844.JPG
2024__09.02.2024__5Z__100MEDIA__DSCF0340_crop0.jpg,2024__09.02.2024__5R__102MEDIA__DSCF0062_crop0.jpg,15,2024,/srv/shared_leopard_toad/2024/09.02.2024/5Z/100MEDIA/DSCF0340.JPG,/srv/shared_leopard_toad/2024/09.02.2024/5R/102MEDIA/DSCF0062.JPG
2025__Documents__22.09-29.09.2025__5Z__107MEDIA__DSCF0361_crop0.jpg,2025__Documents__22.09-29.09.2025__5R__102MEDIA__DSCF0015_crop0.jpg,15,2025,/srv/shared_leopard_toad/2025/Documents/22.09-29.09.2025/5Z/107MEDIA/DSCF0361.JPG,/srv/shared_leopard_toad/2025/Documents/22.09-29.09.2025/5R/102MEDIA/DSCF0015.JPG
2025__Documents__22.09-29.09.2025__5Z__107MEDIA__DSCF0361_crop0.jpg,2025__Documents__01.09.09.09.2025__5R__108MEDIA__DSCF0464_crop0.jpg,15,2025,/srv/shared_leopard_toad/2025/Documents/22.09-29.09.2025/5Z/107MEDIA/DSCF0361.JPG,/srv/shared_leopard_toad/2025/Documents/01.09.09.09.2025/5R/108MEDIA/DSCF0464.JPG
2025__Documents__06.10-13.10.2025__4Z__106MEDIA__DSCF0081_crop0.jpg,2025__Documents__06.10-13.10.2025__4R__106MEDIA__DSCF0008_crop0.jpg,15,2025,/srv/shared_leopard_toad/2025/Documents/06.10-13.10.2025/4Z/106MEDIA/DSCF0081.JPG,/srv/shared_leopard_toad/2025/Documents/06.10-13.10.2025/4R/106MEDIA/DSCF0008.JPG
