epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,307.033,0.93864,4.01275,1.34203,1,0.46111,0.87407,0.56478,1.09483,3.44813,1.29894,0.000523586,0.000523586,0.000523586
66,309.401,0.94274,4.55227,1.30268,0.67662,0.75624,0.85621,0.59411,1.05895,3.13341,1.29109,0.000509438,0.000509438,0.000509438
67,315.914,0.86569,5.15601,1.18214,0.67662,0.75624,0.85621,0.59411,1.05895,3.13341,1.29109,0.000495291,0.000495291,0.000495291
68,318.052,0.96764,4.77616,1.35424,0.82508,0.74769,0.85355,0.56014,1.16867,2.99154,1.3474,0.000481144,0.000481144,0.000481144
69,324.146,0.92582,4.60056,1.16794,0.82508,0.74769,0.85355,0.56014,1.16867,2.99154,1.3474,0.000466997,0.000466997,0.000466997
70,326.78,1.04076,3.38122,1.36928,0.82248,0.82459,0.86881,0.52637,1.27073,2.79242,1.36903,0.00045285,0.00045285,0.00045285
71,332.751,0.96776,3.359,1.28558,0.82248,0.82459,0.86881,0.52637,1.27073,2.79242,1.36903,0.000438703,0.000438703,0.000438703
72,335.24,1.1012,4.17617,1.30867,0.84022,0.84315,0.87278,0.50646,1.27923,2.65303,1.36486,0.000424556,0.000424556,0.000424556
73,341.717,0.90923,3.89667,1.41387,0.84022,0.84315,0.87278,0.50646,1.27923,2.65303,1.36486,0.000410409,0.000410409,0.000410409
74,344.287,0.98598,4.53759,1.33009,0.85569,0.93143,0.91167,0.52813,1.29271,2.55543,1.31975,0.000396262,0.000396262,0.000396262
75,350.012,1.07456,3.52577,1.37419,0.85569,0.93143,0.91167,0.52813,1.29271,2.55543,1.31975,0.000382115,0.000382115,0.000382115
76,352.779,0.98162,3.61868,1.24287,0.8658,0.92762,0.92556,0.55762,1.28438,2.48784,1.30027,0.000367967,0.000367967,0.000367967
77,359.093,1.03533,4.18029,1.31196,0.8658,0.92762,0.92556,0.55762,1.28438,2.48784,1.30027,0.00035382,0.00035382,0.00035382
78,361.322,1.08738,3.59526,1.31125,0.98052,0.9016,0.995,0.65691,1.16262,2.58636,1.26519,0.000339673,0.000339673,0.000339673
79,368.295,0.96015,3.62046,1.35232,0.98052,0.9016,0.995,0.65691,1.16262,2.58636,1.26519,0.000325526,0.000325526,0.000325526
80,370.6,0.76816,3.97011,1.09839,0.98115,0.89979,0.995,0.67925,1.095,2.43374,1.28689,0.000311379,0.000311379,0.000311379
81,376.014,1.09152,3.87325,1.45273,0.98115,0.89979,0.995,0.67925,1.095,2.43374,1.28689,0.000297232,0.000297232,0.000297232
82,378.726,1.09792,3.37711,1.23691,0.98757,0.91261,0.995,0.68156,1.11398,2.32015,1.27326,0.000283085,0.000283085,0.000283085
83,385.548,0.83641,3.27502,1.15394,0.98757,0.91261,0.995,0.68156,1.11398,2.32015,1.27326,0.000268938,0.000268938,0.000268938
84,387.912,0.88827,3.63725,1.16268,0.96775,0.92025,0.995,0.6929,1.08188,2.24661,1.22884,0.000254791,0.000254791,0.000254791
