epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,330.552,0.85966,0.60534,0.00469,0.85052,0.73104,0.8612,0.65367,1.11432,1.33347,0.00562,0.000679204,0.000679204,0.000679204
55,336.345,0.91411,0.59189,0.00399,0.89616,0.71627,0.85175,0.63392,1.12182,1.34505,0.00581,0.000665057,0.000665057,0.000665057
56,341.816,0.87801,0.54089,0.00405,0.85308,0.69749,0.85588,0.64151,1.16126,1.27544,0.00607,0.000650909,0.000650909,0.000650909
57,347.436,0.91159,0.55357,0.00442,0.85432,0.69749,0.84867,0.63404,1.12153,1.40518,0.00579,0.000636762,0.000636762,0.000636762
58,353.077,0.85112,0.5248,0.00414,0.80146,0.70842,0.84652,0.64249,1.14828,1.32788,0.00573,0.000622615,0.000622615,0.000622615
59,358.578,0.84552,0.51132,0.00404,0.82949,0.72043,0.82624,0.63937,1.09339,1.48297,0.00553,0.000608468,0.000608468,0.000608468
60,364.216,0.83491,0.57825,0.00419,0.89755,0.71688,0.82287,0.6329,1.07713,1.35873,0.00564,0.000594321,0.000594321,0.000594321
61,369.918,0.85369,0.59136,0.00549,0.87528,0.72508,0.84357,0.6379,1.13626,1.17697,0.00576,0.000580174,0.000580174,0.000580174
62,375.482,0.86564,0.63701,0.00336,0.85697,0.75951,0.85944,0.65174,1.11415,1.22468,0.0057,0.000566027,0.000566027,0.000566027
63,381.008,0.78023,0.4943,0.00313,0.89986,0.69318,0.83645,0.63145,1.14829,1.24717,0.00581,0.00055188,0.00055188,0.00055188
64,386.511,0.79436,0.55414,0.00358,0.90578,0.68021,0.81397,0.6303,1.11242,1.4034,0.00551,0.000537733,0.000537733,0.000537733
65,391.963,0.8229,0.55731,0.00353,0.90011,0.71072,0.82867,0.62124,1.1448,1.40976,0.0058,0.000523586,0.000523586,0.000523586
66,397.484,0.78166,0.47391,0.00382,0.93578,0.73212,0.84044,0.64163,1.15013,1.233,0.00584,0.000509438,0.000509438,0.000509438
67,403.51,0.77759,0.49997,0.00402,0.93793,0.70484,0.84793,0.6464,1.13021,1.27689,0.00583,0.000495291,0.000495291,0.000495291
68,409.235,0.76649,0.47023,0.00412,0.9399,0.7252,0.85746,0.64675,1.1098,1.32756,0.00572,0.000481144,0.000481144,0.000481144
69,414.78,0.79647,0.48368,0.00387,0.8734,0.71823,0.84964,0.64979,1.15159,1.33443,0.00592,0.000466997,0.000466997,0.000466997
70,420.285,0.74554,0.45717,0.0028,0.83776,0.74195,0.84578,0.6429,1.11298,1.43382,0.0058,0.00045285,0.00045285,0.00045285
71,425.758,0.77398,0.52878,0.0032,0.90949,0.73177,0.8514,0.63862,1.15164,1.37808,0.0059,0.000438703,0.000438703,0.000438703
72,431.4,0.79683,0.50487,0.00331,0.90599,0.73454,0.86524,0.65756,1.07764,1.32526,0.00544,0.000424556,0.000424556,0.000424556
73,437.351,0.75975,0.47995,0.0036,0.8387,0.74554,0.85001,0.65566,1.09614,1.44697,0.00542,0.000410409,0.000410409,0.000410409
74,442.874,0.80426,0.53625,0.0037,0.86133,0.73066,0.83596,0.65164,1.06276,1.5957,0.0053,0.000396262,0.000396262,0.000396262
75,448.46,0.72624,0.40846,0.00372,0.86074,0.72257,0.84646,0.65542,1.096,1.46402,0.00552,0.000382115,0.000382115,0.000382115
76,454.163,0.72898,0.49319,0.00307,0.8494,0.72675,0.85543,0.65543,1.15456,1.2824,0.0057,0.000367967,0.000367967,0.000367967
77,459.572,0.71556,0.41189,0.00331,0.88845,0.71129,0.85672,0.65569,1.18099,1.29408,0.00582,0.00035382,0.00035382,0.00035382
78,465.257,0.73555,0.46539,0.00295,0.96584,0.65601,0.85941,0.65796,1.15431,1.31787,0.00567,0.000339673,0.000339673,0.000339673
79,470.885,0.69139,0.41849,0.00274,0.96628,0.65601,0.84782,0.64713,1.13435,1.43876,0.00567,0.000325526,0.000325526,0.000325526
80,476.731,0.74642,0.46881,0.00321,0.97569,0.66952,0.85725,0.65807,1.12338,1.34519,0.00563,0.000311379,0.000311379,0.000311379
81,482.208,0.72742,0.42458,0.00313,0.88177,0.74027,0.86386,0.65985,1.1424,1.30471,0.00564,0.000297232,0.000297232,0.000297232
82,488.003,0.71741,0.44572,0.00358,0.8809,0.72686,0.86825,0.65716,1.17728,1.33654,0.00584,0.000283085,0.000283085,0.000283085
83,493.605,0.72235,0.39658,0.003,0.89835,0.71491,0.8679,0.65348,1.1236,1.41437,0.00564,0.000268938,0.000268938,0.000268938
84,499.078,0.69775,0.43336,0.00298,0.91725,0.69515,0.86142,0.65853,1.13269,1.49245,0.00565,0.000254791,0.000254791,0.000254791
85,504.881,0.76343,0.52754,0.00283,0.89133,0.71101,0.85472,0.66015,1.1118,1.44435,0.00543,0.000240644,0.000240644,0.000240644
86,510.602,0.69548,0.40746,0.00297,0.88718,0.7207,0.85631,0.65763,1.11151,1.4033,0.00544,0.000226497,0.000226497,0.000226497
87,516.148,0.70752,0.37712,0.00288,0.9065,0.72021,0.86264,0.66563,1.12661,1.39008,0.00558,0.000212349,0.000212349,0.000212349
88,521.929,0.65179,0.43064,0.00295,0.88629,0.73432,0.86276,0.66432,1.11249,1.3913,0.00551,0.000198202,0.000198202,0.000198202
89,527.452,0.69495,0.44378,0.00286,0.88967,0.75032,0.86922,0.66734,1.11071,1.33736,0.00551,0.000184055,0.000184055,0.000184055
90,533.069,0.684,0.43399,0.00265,0.88972,0.73325,0.8695,0.67016,1.12173,1.30086,0.0055,0.000169908,0.000169908,0.000169908
91,544.4,0.62558,0.42285,0.00308,0.93551,0.73619,0.86521,0.66563,1.10532,1.29563,0.0054,0.000155761,0.000155761,0.000155761
92,551.123,0.58494,0.31707,0.00295,0.92112,0.74787,0.85795,0.65505,1.11408,1.38182,0.00548,0.000141614,0.000141614,0.000141614
93,556.726,0.56734,0.27543,0.00252,0.91979,0.72358,0.86207,0.65663,1.10789,1.42427,0.00545,0.000127467,0.000127467,0.000127467
94,562.267,0.59908,0.3278,0.00245,0.93246,0.74142,0.86193,0.66524,1.09106,1.39406,0.00534,0.00011332,0.00011332,0.00011332
95,568.002,0.52842,0.28065,0.00244,0.9328,0.74116,0.86552,0.67027,1.1034,1.3759,0.00538,9.91726e-05,9.91726e-05,9.91726e-05
96,573.728,0.58953,0.33131,0.00266,0.93135,0.74328,0.86259,0.66095,1.11597,1.36018,0.00541,8.50255e-05,8.50255e-05,8.50255e-05
97,579.158,0.5655,0.28295,0.00275,0.93152,0.74557,0.86164,0.66677,1.10166,1.35893,0.00536,7.08784e-05,7.08784e-05,7.08784e-05
98,584.897,0.53697,0.31245,0.00235,0.93299,0.74671,0.86363,0.67313,1.09746,1.37141,0.00534,5.67313e-05,5.67313e-05,5.67313e-05
99,590.362,0.55472,0.31523,0.00252,0.9357,0.7489,0.86255,0.67326,1.09764,1.37769,0.00531,4.25842e-05,4.25842e-05,4.25842e-05
100,595.773,0.58077,0.31244,0.00265,0.93111,0.749,0.85861,0.67059,1.09794,1.37831,0.00531,2.84371e-05,2.84371e-05,2.84371e-05
