epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
42,21771.2,0.55751,0.45278,0.00829,0.93282,0.88508,0.94226,0.83293,0.29117,0.2126,0.00628,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,22278.7,0.55333,0.45015,0.00823,0.92335,0.88968,0.94181,0.83311,0.28987,0.21293,0.00625,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,22787.4,0.5551,0.45174,0.00822,0.92949,0.88766,0.94234,0.83442,0.28909,0.21148,0.00624,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,23310.2,0.54736,0.45161,0.00817,0.92779,0.88719,0.94235,0.83367,0.28934,0.21113,0.00625,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,23830,0.54892,0.4459,0.00818,0.92409,0.89329,0.94343,0.83559,0.28939,0.21095,0.00625,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,24339.4,0.55271,0.43947,0.00821,0.93347,0.88681,0.94471,0.8357,0.28921,0.21153,0.00624,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,24851.5,0.54611,0.43864,0.00813,0.93122,0.88942,0.94458,0.83565,0.28906,0.21132,0.00624,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,25376.6,0.5417,0.43422,0.00804,0.93047,0.89304,0.94414,0.83542,0.28855,0.21129,0.00622,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,25888.2,0.54221,0.42736,0.00809,0.92649,0.8959,0.94348,0.83523,0.28863,0.21163,0.00622,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,26400.9,0.5388,0.43375,0.00802,0.92701,0.89423,0.94546,0.83715,0.28853,0.20988,0.00621,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
