model,processing,cycle,variant,dataset,mAP,mAP50-95,mAR,precision,recall,Other_Amphibian_ap,Other_Amphibian_precision_optimal,Other_Amphibian_recall_optimal,Other_Amphibian_optimal_threshold,Other_Amphibian_specificity_optimal,Small_Mammal_ap,Small_Mammal_precision_optimal,Small_Mammal_recall_optimal,Small_Mammal_optimal_threshold,Small_Mammal_specificity_optimal,Western_Leopard_Toad_ap,Western_Leopard_Toad_precision_optimal,Western_Leopard_Toad_recall_optimal,Western_Leopard_Toad_optimal_threshold,Western_Leopard_Toad_specificity_optimal
yolo,plain,3,scratch,test,0.7197886033344881,0.4836807545149201,0.5786333821850547,0.7811801390272609,0.5786333821850547,0.82354525235829,0.8964879852125693,0.662568306010929,0.0116,0.95,0.498109756097561,0.0,0.0,0.1087,0.95,0.8377108015476133,0.6746411483253588,0.8294117647058824,0.0314,0.95
yolo,plain,3,scratch,val,0.8234694972118302,0.5858181759097707,0.5898025398685761,0.9477265088106318,0.5898025398685761,0.766844727431591,0.8701550387596899,0.5947019867549669,0.0116,0.95,0.995,1.0,1.0,0.1087,0.95,0.7085637642038994,0.71875,0.6052631578947368,0.0314,0.95
yolo,plain,4,pretrained,test,0.6538387072524746,0.5269041003387762,0.6683352523947951,0.6367407061272332,0.6683352523947951,0.8132597738590794,0.7585714285714286,0.7254098360655737,0.0127,0.95,0.2494318181818182,0.0,0.0,0.4174,0.95,0.8988245297165262,0.6901408450704225,0.8647058823529412,0.0269,0.95
yolo,plain,4,pretrained,val,0.8192532891143468,0.5932123912510092,0.657608695652174,0.7327793507117061,0.657608695652174,0.7130798772578784,0.7555938037865749,0.5814569536423841,0.0127,0.95,0.995,1.0,1.0,0.4174,0.95,0.749679990085162,0.625,0.7236842105263158,0.0269,0.95
yolo,plain,4,scratch,test,0.5682455574809168,0.4837390065481447,0.4761782101591825,0.5769966505400924,0.4761782101591825,0.8506948927374794,0.8478605388272583,0.7308743169398907,0.0109,0.95,0.0,0.0,0.0,0.1415,0.95,0.8540417797052711,0.6447368421052632,0.8647058823529412,0.0108,0.95
yolo,plain,4,scratch,val,0.8652830176063712,0.5449218778489949,0.7174544269363065,0.8238115705563542,0.7174544269363065,0.8500444530749698,0.8942457231726283,0.7615894039735099,0.0109,0.95,0.995,1.0,1.0,0.1415,0.95,0.7508045997441438,0.6588235294117647,0.7368421052631579,0.0108,0.95
yolo,clahe,0,pretrained,test,0.8864235493030458,0.5989001260514517,0.8012705600562411,0.8234778520277107,0.8012705600562411,0.7522920383125778,0.6137387387387387,0.744535519125683,0.0103,0.95,0.995,0.0,0.0,0.40049999999999997,0.95,0.9119786095965592,0.864516129032258,0.788235294117647,0.6857,0.95
yolo,clahe,0,pretrained,val,0.7795794075173078,0.617100609931775,0.6093481125769471,0.8260307990114742,0.6093481125769471,0.571115185112679,0.6347197106690777,0.4649006622516556,0.0103,0.95,0.995,1.0,1.0,0.40049999999999997,0.95,0.7726230374392444,0.8518518518518519,0.6052631578947368,0.6857,0.95
yolo,clahe,0,scratch,test,0.5201214335767568,0.4200279111127426,0.3938019665902487,0.5415095587876202,0.3938019665902487,0.7265637208559516,0.8644444444444445,0.5314207650273224,0.0105,0.95,0.0099670840964213,0.006622516556291391,1.0,0.0119,0.95,0.8238334957778974,0.9767441860465116,0.49411764705882355,0.5829,0.95
yolo,clahe,0,scratch,val,0.5337715392765059,0.3875095414335082,0.3082816941733291,0.4787078582435852,0.3082816941733291,0.6319961204740882,0.8646153846153846,0.37218543046357616,0.0105,0.95,0.3316666666666666,0.05555555555555555,1.0,0.0119,0.95,0.637651830688763,0.703125,0.5921052631578947,0.5829,0.95
yolo,clahe,1,pretrained,test,0.7332718577166993,0.6337072552414217,0.6097493029153886,0.8688387829228126,0.6097493029153886,0.748020413321019,0.6466992665036675,0.7226775956284153,0.0101,0.95,0.5233333333333333,1.0,0.5,0.3177,0.95,0.9284618264957458,0.9333333333333333,0.7411764705882353,0.4508,0.95
yolo,clahe,1,pretrained,val,0.7711044388485394,0.5519826664165886,0.6403537431215778,0.7469760742001569,0.6403537431215778,0.6134856513962955,0.6678383128295254,0.5033112582781457,0.0101,0.95,0.995,1.0,1.0,0.3177,0.95,0.7048276651493227,0.7833333333333333,0.618421052631579,0.4508,0.95
yolo,clahe,1,scratch,test,0.5188006321286066,0.435468331140571,0.4014207558645526,0.5142787438970493,0.4014207558645526,0.7115683886957784,0.8004032258064516,0.5423497267759563,0.0104,0.95,0.0,0.0,0.0,0.0352,0.95,0.8448335076900416,0.5218855218855218,0.9117647058823529,0.0232,0.95
yolo,clahe,1,scratch,val,0.4679506997813552,0.3419522824413384,0.7238828502415459,0.3710454120290186,0.7238828502415459,0.5619018683578336,0.9375,0.2582781456953642,0.0104,0.95,0.24875,0.0,0.0,0.0352,0.95,0.5932002309862319,0.53125,0.6710526315789473,0.0232,0.95
yolo,clahe,2,pretrained,test,0.9066798955913672,0.7350748692967539,0.8790509852575469,0.7774275624961834,0.8790509852575469,0.8067699045869361,0.7020506634499397,0.7950819672131147,0.0281,0.95,0.995,1.0,0.5,0.4435,0.95,0.9182697821871656,0.8385093167701864,0.7941176470588235,0.1602,0.95
yolo,clahe,2,pretrained,val,0.7429151813581428,0.4309993957570981,0.5639642852771426,0.8412537095674665,0.5639642852771426,0.6446426024374462,0.7328519855595668,0.5377483443708609,0.0281,0.95,0.995,1.0,1.0,0.4435,0.95,0.5891029416369824,0.44715447154471544,0.7236842105263158,0.1602,0.95
yolo,clahe,2,scratch,test,0.466507785152207,0.3837594382399985,0.3820524727188298,0.8157838556850452,0.3820524727188298,0.6724278764584969,0.6255924170616114,0.5409836065573771,0.0101,0.95,0.0,0.0,0.0,0.25,0.95,0.7270954789981241,0.6578947368421053,0.7352941176470589,0.0942,0.95
yolo,clahe,2,scratch,val,0.7956082426305349,0.4010241584135742,0.3506121168728653,0.8446727516126611,0.3506121168728653,0.6751919402590643,0.7578740157480315,0.5099337748344371,0.0101,0.95,0.995,0.0,0.0,0.25,0.95,0.7166327876325405,0.8688524590163934,0.6973684210526315,0.0942,0.95
yolo,clahe,3,pretrained,test,0.7631987932494031,0.6226756517737901,0.631388179449475,0.8695514001329498,0.631388179449475,0.8111982154147439,0.6293634496919918,0.837431693989071,0.0101,0.95,0.5859090909090907,0.0,0.0,0.4018,0.95,0.8924890734243744,0.7674418604651163,0.7764705882352941,0.1423,0.95
